lap_count,t,x,y,z,dx,dy,dz,rot_x,rot_y,rot_z,width,kap0,kap1,speed,steering,throttle,brake,course_code,Var20
5,70.773,359.01,46.5978,0.458,0.083,-0.6948,-0.007768,-0.0071768,0.012285,-3.0191,12.2452,0.0022959,0.0022985,41.915,0.0032273,1,3.0399e-05,154,
5,70.789,359.093,45.903,0.45023,0.084,-0.6955,-0.007828,-0.0072745,0.012009,-3.0188,12.2551,0.0011046,0.001106,41.9494,0.0032178,0.99967,2.3297e-05,154,
5,70.806,359.177,45.2075,0.44241,0.085,-0.6962,-0.007951,-0.0073913,0.011666,-3.0184,12.2689,-0.00018307,-0.00018299,41.9919,0.0032457,1,0,154,
5,70.823,359.262,44.5113,0.43446,0.085,-0.6971,-0.008093,-0.0074521,0.011383,-3.0181,12.284,0.00012238,0.000123,42.0408,0.0033112,0.99976,0,154,
5,70.839,359.347,43.8142,0.42636,0.084,-0.6977,-0.008241,-0.0075695,0.010969,-3.0178,12.3041,0.00097987,0.00098136,42.0897,0.0032641,1,3.0399e-05,154,
5,70.856,359.431,43.1165,0.41812,0.086,-0.6983,-0.008475,-0.0077811,0.010318,-3.0176,12.3243,0.00098174,0.00098293,42.1281,0.0032611,0.99984,2.3297e-05,154,
5,70.873,359.517,42.4182,0.40965,0.086,-0.6991,-0.008501,-0.0080593,0.009238,-3.0173,12.3444,-0.00016869,-0.00016886,42.1644,0.0032978,1,0,154,
5,70.889,359.603,41.7191,0.40115,0.086,-0.6997,-0.008582,-0.0083575,0.0073859,-3.017,12.3646,0.0004125,0.00041293,42.2142,0.003372,0.9999,0,154,
5,70.906,359.689,41.0194,0.39256,0.086,-0.7004,-0.008985,-0.0086752,0.0053346,-3.0168,12.3848,0.00068269,0.00068338,42.2561,0.0033336,1,3.0399e-05,154,
5,70.923,359.775,40.319,0.38358,0.087,-0.701,-0.009049,-0.0089371,0.003821,-3.0166,12.405,0.00097629,0.0009772,42.2947,0.0033394,0.99995,2.3297e-05,154,
5,70.939,359.862,39.618,0.37453,0.087,-0.7018,-0.009182,-0.009143,0.0018236,-3.0163,12.4253,0.00069577,0.00069637,42.3392,0.0033055,1,0,154,
5,70.956,359.949,38.9162,0.36535,0.088,-0.7023,-0.009402,-0.0093682,-0.00031923,-3.0161,12.4456,0.00040519,0.00040552,42.3844,0.003309,0.99999,0,154,
5,70.973,360.037,38.2139,0.35595,0.088,-0.7029,-0.009388,-0.0095376,-0.0020693,-3.0158,12.4658,-0.00017298,-0.00017316,42.4219,0.0033501,1,3.0399e-05,154,
5,70.989,360.125,37.511,0.34656,0.088,-0.7038,-0.009539,-0.0096137,-0.0039372,-3.0155,12.4861,0.00038343,0.00038403,42.4631,0.0032787,1,2.3297e-05,154,
5,71.006,360.213,36.8072,0.33702,0.088,-0.7043,-0.009776,-0.0097563,-0.0054876,-3.0153,12.5065,0.00067533,0.00067635,42.5147,0.0032513,0.99975,0,154,
5,71.023,360.301,36.1029,0.32724,0.089,-0.7052,-0.009753,-0.010038,-0.0067519,-3.015,12.5268,0.00095104,0.00095237,42.5483,0.0032636,1,0,154,
5,71.039,360.39,35.3977,0.31749,0.089,-0.7057,-0.00975,-0.010285,-0.0079302,-3.0147,12.5472,0.00067435,0.00067526,42.5986,0.0032384,1,3.0399e-05,154,
5,71.056,360.479,34.692,0.30774,0.09,-0.7065,-0.010039,-0.010435,-0.0091855,-3.0144,12.5676,0.00038347,0.00038401,42.6392,0.0031757,0.99994,2.3297e-05,154,
5,71.073,360.569,33.9855,0.2977,0.09,-0.7071,-0.009985,-0.010499,-0.0099546,-3.0141,12.5691,-0.00017722,-0.0001774,42.6858,0.0032255,1,0,154,
5,71.089,360.659,33.2784,0.28772,0.09,-0.7079,-0.009927,-0.01038,-0.010849,-3.0138,12.5693,0.0003686,0.00036911,42.7328,0.0031431,0.99996,0,154,
5,71.106,360.749,32.5705,0.27779,0.09,-0.7086,-0.009785,-0.01012,-0.011404,-3.0135,12.5694,0.00065329,0.00065417,42.7817,0.0031125,1,3.0399e-05,154,
5,71.123,360.839,31.8619,0.268,0.091,-0.7094,-0.009662,-0.0099036,-0.011858,-3.0131,12.5696,0.00037189,0.00037241,42.8297,0.0031285,0.99998,2.3297e-05,154,
