lap_count,t,x,y,z,dx,dy,dz,rot_x,rot_y,rot_z,width,kap0,kap1,speed,steering,throttle,brake,course_code,Var20
0,0,-389.448,-170.382,9.0222,-0.154,-0.97,0.00082,0.0050289,-0.00064714,2.9859,13.9771,0.00029035,0.00029132,58.8253,0.0017663,1,0,841,
0,0,-389.602,-171.352,9.0231,-0.154,-0.969,0.00038,0.0049351,-0.000518,2.9861,13.9775,0.00018344,0.00018456,58.8261,0.0017656,0.99999,2.9112e-06,841,
0,0,-389.756,-172.321,9.0235,-0.153,-0.971,7e-05,0.0043082,-0.0004073,2.9862,13.9781,0.00017337,0.00017447,58.8442,0.0017275,1,0,841,
0,0,-389.909,-173.292,9.0235,-0.154,-0.97,-0.0006,0.0035438,-0.00031549,2.9864,13.9788,0.00014475,0.00014502,58.8553,0.0017269,0.99999,2.9112e-06,841,
0,0,-390.063,-174.262,9.0229,-0.153,-0.97,-0.00129,0.0031507,-0.00024228,2.9866,13.9794,0.00040825,0.00040831,58.8692,0.0017638,1,0,841,
0,0,-390.216,-175.232,9.0216,-0.153,-0.971,-0.00153,0.0026462,-3.7554e-05,2.9867,13.98,6.8961e-05,6.9123e-05,58.8889,0.0017632,0.99999,2.9112e-06,841,
0,0,-390.369,-176.203,9.0201,-0.153,-0.972,-0.00209,0.0020416,0.00033652,2.9869,13.9806,2.3442e-05,2.3604e-05,58.9014,0.0017251,1,0,841,
0,0,-390.522,-177.175,9.018,-0.153,-0.971,-0.00261,0.0015271,0.000671,2.9871,13.9813,0.00031491,0.00031498,58.9264,0.0017245,0.99999,2.9112e-06,841,
0,0,-390.675,-178.146,9.0154,-0.153,-0.972,-0.00275,0.001094,0.001113,2.9873,13.9819,0.00023592,0.00023562,58.9411,0.0017614,1,0,841,
0,0,-390.828,-179.118,9.0127,-0.152,-0.972,-0.00246,0.0010264,0.0017806,2.9875,13.9826,0.00021614,0.00021563,58.9756,0.0017607,0.99999,2.9112e-06,841,
