lap_count,t,x,y,z,dx,dy,dz,rot_x,rot_y,rot_z,width,kap0,kap1,speed,steering,throttle,brake,course_code,Var20
0,0,377.421,268.394,8.0869,0.665,-0.058,-0.04494,-0.065878,0.033922,-1.6829,10.1162,-0.008082,-0.008092,40.1175,-0.044257,0.99999,1.0484e-05,10,NaN
0,0,378.086,268.336,8.0419,0.666,-0.062,-0.04482,-0.06631,0.033789,-1.688,10.1025,-0.008111,-0.0081196,40.1206,-0.044059,1,3.4476e-05,10,NaN
0,0,378.752,268.274,7.9971,0.665,-0.065,-0.04467,-0.066822,0.033423,-1.6932,10.0888,-0.0082224,-0.0082297,40.1383,-0.043974,0.99999,2.0968e-05,10,NaN
0,0,379.417,268.209,7.9524,0.666,-0.069,-0.04455,-0.067264,0.032976,-1.6985,10.075,-0.0075436,-0.0075516,40.1586,-0.043991,1,0,10,NaN
0,0,380.083,268.14,7.9079,0.666,-0.073,-0.04438,-0.067512,0.032208,-1.7039,10.0548,-0.00752,-0.0075295,40.2025,-0.043917,0.99999,0,10,NaN
0,0,380.749,268.067,7.8635,0.666,-0.075,-0.04427,-0.067471,0.031344,-1.7097,10.0281,-0.0076884,-0.0077032,40.255,-0.043924,1,2.3992e-05,10,NaN
0,0,381.415,267.992,7.8192,0.667,-0.08,-0.0444,-0.06722,0.03067,-1.7156,10.0311,-0.0082974,-0.008312,40.3042,-0.043858,0.99999,1.0484e-05,10,NaN
0,0,382.082,267.912,7.7748,0.668,-0.083,-0.0443,-0.066536,0.030275,-1.7218,10.0539,-0.0080524,-0.0080608,40.3644,-0.043991,1,3.4476e-05,10,NaN
0,0,382.75,267.829,7.7305,0.668,-0.087,-0.04434,-0.065961,0.029958,-1.7279,10.0768,-0.0081104,-0.0081164,40.4158,-0.04389,0.99999,2.0968e-05,10,NaN
0,0,383.418,267.742,7.6862,0.668,-0.091,-0.04423,-0.065472,0.029733,-1.7335,10.0997,-0.0077841,-0.0077898,40.4764,-0.043881,1,0,10,NaN
0,0,384.086,267.651,7.642,0.668,-0.094,-0.04416,-0.064888,0.029352,-1.739,10.1023,-0.0085967,-0.0086087,40.5061,-0.043623,0.99999,0,10,NaN
0,0,384.754,267.557,7.5978,0.668,-0.098,-0.04403,-0.064221,0.028917,-1.7447,10.0901,-0.0075982,-0.007612,40.5497,-0.043657,1,2.3992e-05,10,NaN
0,0,385.422,267.459,7.5538,0.669,-0.103,-0.04406,-0.063624,0.028357,-1.7502,10.0848,-0.0077296,-0.0077372,40.5961,-0.043348,0.99999,1.0484e-05,10,NaN
0,0,386.091,267.356,7.5097,0.669,-0.104,-0.04392,-0.062822,0.028089,-1.7557,10.0956,-0.0079292,-0.0079349,40.6458,-0.043442,1,3.4476e-05,10,NaN
0,0,386.76,267.252,7.4658,0.668,-0.11,-0.04386,-0.062309,0.028068,-1.7608,10.1064,-0.0087982,-0.0088057,40.6758,-0.043379,0.99999,2.0968e-05,10,NaN
0,0,387.428,267.142,7.4219,0.67,-0.113,-0.04374,-0.061996,0.028273,-1.7655,10.1172,-0.0072802,-0.0072858,40.7222,-0.043457,1,0,10,NaN
0,0,388.098,267.029,7.3782,0.669,-0.117,-0.04354,-0.061617,0.028426,-1.77,10.1281,-0.007724,-0.0077275,40.77,-0.043407,0.99999,0,10,NaN
0,0,388.767,266.912,7.3347,0.669,-0.12,-0.04345,-0.061298,0.028522,-1.7747,10.1389,-0.0077854,-0.0077965,40.8178,-0.043473,1,2.3992e-05,10,NaN
0,0,389.436,266.792,7.2912,0.669,-0.124,-0.04347,-0.060829,0.028662,-1.7795,10.1498,-0.0070997,-0.0071116,40.8494,-0.043435,0.99999,1.0484e-05,10,NaN
0,0,390.105,266.668,7.2477,0.67,-0.128,-0.04321,-0.060404,0.029026,-1.7841,10.1607,-0.0072515,-0.0072583,40.8978,-0.043304,1,3.4476e-05,10,NaN
0,0,390.775,266.54,7.2045,0.67,-0.13,-0.04315,-0.060021,0.029345,-1.7888,10.1716,-0.0075688,-0.0075732,40.9489,-0.043424,0.99999,2.0968e-05,10,NaN
0,0,391.445,266.41,7.1614,0.669,-0.135,-0.043,-0.059821,0.029721,-1.7932,10.1826,-0.0074414,-0.0074487,40.9833,-0.043249,1,0,10,NaN
0,0,392.114,266.275,7.1184,0.67,-0.138,-0.04278,-0.059662,0.030149,-1.7975,10.1902,-0.0067511,-0.0067603,41.0381,-0.042727,0.99999,0,10,NaN
0,0,392.784,266.137,7.0756,0.67,-0.141,-0.04273,-0.05947,0.03031,-1.8019,10.1761,-0.0071452,-0.0071528,41.0872,-0.042612,1,2.3992e-05,10,NaN
0,0,393.454,265.996,7.0329,0.67,-0.145,-0.04274,-0.059175,0.030665,-1.8064,10.1622,-0.0066983,-0.0067076,41.1225,-0.042338,0.99999,1.0484e-05,10,NaN
0,0,394.124,265.851,6.9901,0.67,-0.148,-0.04252,-0.058726,0.031074,-1.8111,10.1482,-0.0067375,-0.0067447,41.1783,-0.04192,1,3.4476e-05,10,NaN
0,0,394.794,265.703,6.9476,0.671,-0.151,-0.0424,-0.058463,0.031221,-1.8157,10.1342,-0.0071386,-0.0071438,41.22,-0.041632,0.99999,2.0968e-05,10,NaN
0,0,395.465,265.552,6.9052,0.67,-0.155,-0.04221,-0.058238,0.031445,-1.82,10.1202,-0.0068963,-0.0069004,41.2597,-0.040994,1,0,10,NaN
0,0,396.135,265.397,6.863,0.67,-0.158,-0.04201,-0.058131,0.031502,-1.8243,10.1062,-0.0054281,-0.0054347,41.3142,-0.040766,0.99999,0,10,NaN
0,0,396.805,265.239,6.821,0.67,-0.161,-0.042,-0.057922,0.031395,-1.8287,10.0921,-0.0063575,-0.0063635,41.3578,-0.040378,1,2.3992e-05,10,NaN
0,0,397.475,265.078,6.779,0.671,-0.163,-0.04195,-0.057681,0.031334,-1.8332,10.078,-0.007339,-0.0073445,41.4033,-0.039845,0.99999,1.0484e-05,10,NaN
0,0,398.146,264.915,6.737,0.67,-0.168,-0.04175,-0.057357,0.031392,-1.8378,10.0638,-0.0066722,-0.0066781,41.4442,-0.039703,1,3.4476e-05,10,NaN
0,0,398.816,264.747,6.6953,0.67,-0.171,-0.04167,-0.057106,0.031273,-1.8422,10.0498,-0.0057105,-0.0057157,41.4989,-0.039102,0.99999,2.0968e-05,10,NaN
0,0,399.486,264.576,6.6536,0.671,-0.173,-0.04145,-0.056921,0.031296,-1.8465,10.0356,-0.006407,-0.0064113,41.5472,-0.03904,1,0,10,NaN
0,0,400.157,264.403,6.6122,0.67,-0.177,-0.04134,-0.0568,0.031039,-1.8509,10.0215,-0.0067583,-0.0067632,41.5758,-0.038344,0.99999,0,10,NaN
0,0,400.827,264.226,6.5708,0.67,-0.18,-0.04128,-0.056581,0.030713,-1.8552,10.0205,-0.0065838,-0.0065922,41.6375,-0.038393,1,2.3992e-05,10,NaN
0,0,401.497,264.046,6.5296,0.67,-0.183,-0.04123,-0.056342,0.030447,-1.8595,10.0231,-0.0061136,-0.0061229,41.6725,-0.037567,0.99999,1.0484e-05,10,NaN
0,0,402.167,263.863,6.4883,0.67,-0.187,-0.04105,-0.056042,0.030239,-1.864,10.0258,-0.005609,-0.0056153,41.7353,-0.03777,1,3.4476e-05,10,NaN
0,0,402.837,263.676,6.4473,0.671,-0.189,-0.04099,-0.055794,0.029986,-1.8682,10.0284,-0.00602,-0.0060251,41.7694,-0.037569,0.99999,2.0968e-05,10,NaN
0,0,403.508,263.487,6.4063,0.67,-0.192,-0.04084,-0.055598,0.029693,-1.8724,10.0311,-0.0065326,-0.0065368,41.8114,-0.037006,1,0,10,NaN
0,0,404.178,263.295,6.3654,0.67,-0.196,-0.04069,-0.055383,0.029272,-1.8767,10.0341,-0.0057147,-0.0057212,41.8631,-0.036769,0.99999,0,10,NaN
