lap_count,t,x,y,z,dx,dy,dz,rot_x,rot_y,rot_z,width,kap0,kap1,speed,steering,throttle,brake,course_code,Var20
1,110.634,-526.06,-488.916,175.627,0.07,0.941,0.006,0.009891,-0.00626,-0.074727,11.8795,-0.00038773,-0.00038783,56.5131,-0.0034164,0.99999,3.216e-05,742,
1,110.65,-525.99,-487.975,175.633,0.071,0.941,0.006,0.0097739,-0.0066904,-0.074712,11.8803,-8.7231e-05,-8.7279e-05,56.5356,-0.018625,1,0,742,
1,110.667,-525.919,-487.034,175.639,0.07,0.941,0.006,0.0096382,-0.007102,-0.074715,11.8808,3.622e-05,3.6207e-05,56.5586,-0.0064953,0.99999,0,742,
1,110.684,-525.849,-486.093,175.645,0.07,0.942,0.006,0.0095214,-0.0074195,-0.074738,11.8815,-0.0001101,-0.00010978,56.5817,-0.01897,1,3.483e-05,742,
1,110.7,-525.779,-485.151,175.651,0.071,0.942,0.005,0.0093857,-0.0077151,-0.074742,11.8821,0.00019307,0.00019355,56.6,-0.0093008,0.99999,3.216e-05,742,
1,110.717,-525.708,-484.209,175.656,0.07,0.943,0.005,0.0092686,-0.007991,-0.074727,11.8827,2.4399e-05,2.471e-05,56.6214,-0.019561,1,0,742,
1,110.734,-525.638,-483.266,175.661,0.07,0.943,0.005,0.0091328,-0.008248,-0.074731,11.8834,-0.00015735,-0.00015741,56.6481,-0.011885,0.99999,0,742,
1,110.75,-525.568,-482.323,175.666,0.071,0.943,0.005,0.0090161,-0.0085612,-0.074753,11.8841,0.00018096,0.00018093,56.6706,0.011934,1,3.483e-05,742,
1,110.767,-525.497,-481.38,175.671,0.07,0.943,0.005,0.0088803,-0.0089308,-0.074757,11.8847,5.9929e-05,5.9607e-05,56.6908,-0.0078326,0.99999,3.216e-05,742,
1,110.784,-525.427,-480.437,175.676,0.07,0.944,0.005,0.0087257,-0.0093569,-0.074743,11.8853,-0.00012185,-0.00012266,56.7089,-0.010528,1,0,742,
1,110.8,-525.357,-479.493,175.681,0.071,0.945,0.005,0.0085524,-0.0098391,-0.074747,11.886,-0.00014999,-0.00015116,56.735,0.00214,0.99999,0,742,
1,110.817,-525.286,-478.548,175.686,0.07,0.944,0.004,0.0083978,-0.010378,-0.074733,11.8865,0.00019593,0.00019543,56.7572,0.00098084,1,3.483e-05,742,
1,110.834,-525.216,-477.604,175.69,0.071,0.945,0.004,0.0082996,-0.010935,-0.074737,11.8873,-0.00010228,-0.00010214,56.7819,0.012266,0.99999,3.216e-05,742,
1,110.85,-525.145,-476.659,175.694,0.07,0.946,0.005,0.0081828,-0.011549,-0.07476,11.8879,0.0001851,0.00018538,56.8022,-0.010049,1,0,742,
1,110.867,-525.075,-475.713,175.699,0.071,0.946,0.004,0.0081222,-0.012106,-0.074763,11.8885,-0.000161,-0.00016108,56.8253,0.0071167,0.99999,0,742,
1,110.884,-525.004,-474.767,175.703,0.07,0.946,0.004,0.0080801,-0.012645,-0.074748,11.8891,0.00018436,0.00018463,56.8492,0.008819,1,3.483e-05,742,
1,110.9,-524.934,-473.821,175.707,0.071,0.946,0.004,0.008057,-0.013127,-0.074751,11.8897,-0.00010161,-0.00010147,56.8728,-0.0033955,0.99999,3.216e-05,742,
1,110.917,-524.863,-472.875,175.711,0.07,0.947,0.004,0.00809,-0.013591,-0.074735,11.8783,0.00019607,0.00019558,56.8972,-0.0030849,1,0,742,
1,110.934,-524.793,-471.928,175.715,0.071,0.948,0.004,0.0081419,-0.013998,-0.074737,11.8623,-0.00014909,-0.00015024,56.9164,0.0084983,0.99999,0,742,
1,110.95,-524.722,-470.98,175.719,0.07,0.947,0.004,0.0082124,-0.014349,-0.07472,11.8465,-0.00012102,-0.00012182,56.9436,0.0099362,1,3.483e-05,742,
1,110.967,-524.652,-470.033,175.723,0.071,0.948,0.005,0.0082644,-0.014643,-0.074722,11.8305,5.7647e-05,5.7329e-05,56.9667,0.0022433,0.99999,3.216e-05,742,
1,110.984,-524.581,-469.085,175.728,0.071,0.949,0.004,0.0084474,-0.014882,-0.074704,11.8339,0.00017896,0.00017892,56.9878,0.0027681,1,0,742,
1,111,-524.51,-468.136,175.732,0.07,0.949,0.005,0.0086641,-0.015102,-0.074666,11.8433,-0.00013182,-0.00013186,57.0225,-0.0041031,0.99999,0,742,
1,111.017,-524.44,-467.187,175.737,0.071,0.949,0.005,0.0089115,-0.015303,-0.074646,11.8527,3.4488e-05,3.4476e-05,57.0358,-0.0043179,1,3.483e-05,742,
1,111.034,-524.369,-466.238,175.742,0.071,0.95,0.006,0.0091318,-0.015447,-0.074646,11.8619,0.00017856,0.00017852,57.0639,0.001458,0.99999,3.216e-05,742,
1,111.05,-524.298,-465.288,175.748,0.07,0.95,0.005,0.0093758,-0.015536,-0.074588,11.8713,-0.00013157,-0.00013161,57.0814,0.0018423,1,0,742,
1,111.067,-524.228,-464.338,175.753,0.071,0.95,0.006,0.0096869,-0.015605,-0.074549,11.8806,3.438e-05,3.4368e-05,57.1103,-0.002626,0.99999,0,742,
1,111.084,-524.157,-463.388,175.759,0.071,0.951,0.006,0.0099782,-0.015619,-0.074528,11.89,0.00017816,0.00017812,57.1267,-0.0027269,1,3.483e-05,742,
1,111.1,-524.086,-462.437,175.765,0.07,0.951,0.006,0.010213,-0.015613,-0.07449,11.8993,-0.00013132,-0.00013136,57.1475,0.0011026,0.99999,3.216e-05,742,
1,111.117,-524.016,-461.486,175.771,0.071,0.951,0.006,0.010466,-0.015552,-0.074433,11.9087,-0.00027904,-0.00027903,57.1769,0.0013947,1,0,742,
1,111.134,-523.945,-460.535,175.777,0.071,0.952,0.006,0.010701,-0.015509,-0.074394,11.9181,0.00035975,0.0003601,57.1947,-0.001497,0.99999,0,742,
1,111.15,-523.874,-459.583,175.783,0.071,0.952,0.007,0.01088,-0.01541,-0.074376,11.9274,0.00018936,0.00018982,57.2167,-0.0015233,1,3.483e-05,742,
1,111.167,-523.803,-458.631,175.79,0.07,0.953,0.006,0.010964,-0.015367,-0.07434,11.9368,-0.00013042,-0.00013013,57.2369,0.0010292,0.99999,3.216e-05,742,
1,111.184,-523.733,-457.678,175.796,0.071,0.953,0.007,0.010982,-0.01523,-0.074286,11.9463,2.292e-05,2.322e-05,57.2544,0.0012608,1,0,742,
1,111.2,-523.662,-456.725,175.803,0.071,0.953,0.006,0.010862,-0.015027,-0.074253,11.9556,0.00018893,0.00018939,57.2753,-0.00059644,0.99999,0,742,
1,111.217,-523.591,-455.772,175.809,0.07,0.954,0.006,0.010705,-0.014765,-0.074202,11.965,-0.00013018,-0.00012989,57.2914,-0.00057375,1,3.483e-05,742,
1,111.234,-523.521,-454.818,175.815,0.071,0.954,0.006,0.010516,-0.014447,-0.074133,11.9743,-0.00028884,-0.00028884,57.3147,0.0011409,0.99999,3.216e-05,742,
1,111.25,-523.45,-453.864,175.821,0.071,0.954,0.006,0.010299,-0.014034,-0.074082,11.9837,3.4624e-05,3.466e-05,57.3342,0.0013328,1,0,742,
1,111.267,-523.379,-452.91,175.827,0.071,0.955,0.005,0.010003,-0.013644,-0.074052,11.9931,0.00033456,0.00033456,57.3572,0.00015421,0.99999,0,742,
1,111.284,-523.308,-451.955,175.832,0.071,0.955,0.006,0.0096833,-0.013273,-0.074002,12.0024,0.00017652,0.00017616,57.3753,0.00020905,1,3.483e-05,742,
1,111.3,-523.237,-451,175.838,0.07,0.955,0.005,0.0093847,-0.012884,-0.073934,12.0118,-0.00011893,-0.00011944,57.3917,-0.0008462,0.99999,3.216e-05,742,
1,111.317,-523.167,-450.045,175.843,0.071,0.956,0.005,0.0089916,-0.012513,-0.073923,12.0138,-0.00026522,-0.00026551,57.4186,-0.00090237,1,0,742,
1,111.334,-523.096,-449.089,175.848,0.071,0.956,0.004,0.0085754,-0.012124,-0.073856,12.0138,1.1381e-05,1.1441e-05,57.4361,-5.9357e-05,0.99999,0,742,
1,111.35,-523.025,-448.133,175.852,0.071,0.957,0.004,0.0081797,-0.011716,-0.073807,12.0139,0.00034481,0.00034559,57.4575,-2.5605e-05,1,3.483e-05,742,
1,111.367,-522.954,-447.176,175.856,0.071,0.956,0.004,0.0078404,-0.011326,-0.073777,12.014,0.00017616,0.00017757,57.4822,-0.00072019,0.99999,3.216e-05,742,
1,111.384,-522.883,-446.22,175.86,0.07,0.958,0.004,0.0074823,-0.010918,-0.073727,12.0141,-0.00011709,-0.00011587,57.5025,0.00055173,1,0,742,
1,111.4,-522.813,-445.262,175.864,0.071,0.957,0.004,0.0071802,-0.010491,-0.073658,12.0142,-0.00027521,-0.00027483,57.5306,-0.00048699,0.99999,0,742,
1,111.417,-522.742,-444.305,175.868,0.071,0.958,0.003,0.0069726,-0.010045,-0.073644,12.0143,5.7174e-05,5.7233e-05,57.5542,-0.00062071,1,3.483e-05,742,
1,111.434,-522.671,-443.347,175.871,0.071,0.959,0.004,0.0068306,-0.009543,-0.073574,12.0144,0.0003317,0.0003317,57.5697,6.0072e-05,0.99999,3.216e-05,742,
1,111.45,-522.6,-442.388,175.875,0.071,0.959,0.003,0.0067487,-0.009097,-0.073558,12.0144,0.00015212,0.00015207,57.6053,7.8026e-06,1,0,742,
1,111.467,-522.529,-441.429,175.878,0.07,0.959,0.003,0.0067976,-0.0086701,-0.073486,12.0145,-0.00012935,-0.00012938,57.6283,0.00061528,0.99999,0,742,
1,111.484,-522.459,-440.47,175.881,0.071,0.959,0.004,0.006881,-0.0082992,-0.073469,12.0146,-0.00027473,-0.00027472,57.6489,-0.00055856,1,3.483e-05,742,
